DateTime,BPM,Target,RHR,steps
2022-06-25 02:19:30,84,0,72,0
2022-06-25 02:20:45,89,0,72,7
2022-06-25 02:21:15,92,0,72,0
2022-06-25 02:21:21,92,0,72,9
2022-06-25 02:21:36,93,0,72,13
2022-06-25 02:22:16,93,0,72,12
2022-06-25 02:23:01,90,0,72,17
2022-06-25 02:23:16,91,0,72,23
2022-06-25 02:23:26,91,0,72,12
2022-06-25 02:23:36,88,0,72,34
2022-06-25 02:23:51,88,0,72,17
2022-06-25 02:23:56,90,0,72,14
2022-06-25 02:24:01,90,0,72,1
2022-06-25 02:24:46,82,0,72,37
2022-06-25 02:24:51,83,0,72,25
2022-06-25 02:24:56,84,0,72,54
2022-06-25 02:25:11,85,0,72,5
2022-06-25 02:25:16,83,0,72,15
2022-06-25 02:25:21,82,0,72,64
2022-06-25 02:25:31,83,0,72,13
2022-06-25 02:25:36,84,0,72,52
2022-06-25 02:25:41,84,0,72,67
2022-06-25 02:25:51,85,0,72,7
2022-06-25 02:26:16,86,0,72,18
2022-06-25 02:26:21,84,0,72,72
2022-06-25 02:26:31,85,0,72,97
2022-06-25 02:26:36,86,0,72,42
2022-06-25 02:26:41,85,0,72,42
2022-06-25 02:26:46,84,0,72,38
2022-06-25 02:27:06,84,0,72,24
2022-06-25 02:27:11,84,0,72,80
2022-06-25 02:27:16,84,0,72,25
2022-06-25 02:27:51,83,0,72,52
2022-06-25 02:27:56,83,0,72,47
2022-06-25 02:28:01,83,0,72,36
2022-06-25 02:28:16,83,0,72,11
2022-06-25 02:28:31,84,0,72,53
2022-06-25 02:28:51,86,0,72,9
2022-06-25 02:29:16,84,0,72,15
2022-06-25 02:29:26,85,0,72,11
2022-06-25 02:30:06,91,0,72,30
2022-06-25 02:30:11,93,0,72,96
2022-06-25 02:30:16,92,0,72,17
2022-06-25 02:30:31,92,0,72,25
2022-06-25 02:30:41,90,0,72,9
2022-06-25 02:30:56,90,0,72,28
2022-06-25 02:31:01,89,0,72,25
2022-06-25 02:31:06,90,0,72,18
2022-06-25 02:31:16,88,0,72,41
2022-06-25 02:31:46,85,0,72,9
2022-06-25 02:31:51,85,0,72,23
2022-06-25 02:32:20,84,0,72,26
2022-06-25 02:33:05,87,0,72,27
2022-06-25 02:34:10,80,0,72,0
2022-06-25 02:34:20,81,0,72,0
2022-06-25 02:35:55,84,0,72,27
2022-06-25 02:36:45,87,0,72,8
2022-06-25 02:37:10,86,0,72,4
2022-06-25 02:37:40,86,0,72,12
2022-06-25 02:37:55,84,0,72,68
2022-06-25 02:38:00,85,0,72,8
2022-06-25 02:38:30,87,0,72,13
2022-06-25 02:38:35,88,0,72,48
2022-06-25 02:38:50,88,0,72,10
2022-06-25 02:39:10,84,0,72,9
2022-06-25 02:40:40,91,0,72,7
2022-06-25 02:41:40,99,0,72,0
2022-06-25 02:41:45,101,0,72,9
2022-06-25 02:42:05,103,0,72,14
2022-06-25 02:42:15,99,0,72,17
2022-06-25 02:42:20,94,0,72,13
2022-06-25 02:42:35,97,0,72,9
2022-06-25 02:42:45,94,0,72,22
2022-06-25 02:43:25,91,0,72,57
2022-06-25 02:43:30,92,0,72,15
2022-06-25 02:43:45,92,0,72,7
2022-06-25 02:43:50,93,0,72,11
2022-06-25 02:43:55,94,0,72,7
2022-06-25 02:44:40,91,0,72,4
2022-06-25 02:44:55,93,0,72,6
2022-06-25 02:45:25,92,0,72,5
2022-06-25 02:45:30,90,0,72,27
2022-06-25 02:45:55,91,0,72,19
2022-06-25 02:46:15,92,0,72,32
2022-06-25 02:46:45,92,0,72,49
2022-06-25 02:46:55,93,0,72,36
2022-06-25 02:47:15,93,0,72,33
2022-06-25 02:47:45,94,0,72,4
2022-06-25 02:48:00,93,0,72,25
2022-06-25 02:48:10,93,0,72,65
2022-06-25 02:48:25,93,0,72,97
2022-06-25 02:48:40,91,0,72,50
2022-06-25 02:48:55,91,0,72,38
2022-06-25 02:50:01,94,0,72,57
2022-06-25 02:50:16,93,0,72,44
2022-06-25 02:50:26,92,0,72,28
2022-06-25 02:50:41,94,0,72,9
2022-06-25 02:50:51,95,0,72,26
2022-06-25 02:50:56,94,0,72,70
2022-06-25 02:51:11,92,0,72,65
2022-06-25 02:51:21,93,0,72,63
2022-06-25 02:51:26,92,0,72,96
2022-06-25 02:51:31,91,0,72,74
2022-06-25 02:51:36,90,0,72,24
2022-06-25 02:51:46,91,0,72,53
2022-06-25 02:52:16,91,0,72,51
2022-06-25 02:52:26,90,0,72,85
2022-06-25 02:52:41,90,0,72,70
2022-06-25 02:52:46,91,0,72,54
2022-06-25 02:52:56,89,0,72,28
2022-06-25 02:53:52,89,0,72,19
2022-06-25 02:54:32,91,0,72,8
2022-06-25 02:55:07,92,0,72,21
2022-06-25 02:55:12,91,0,72,10
2022-06-25 02:56:37,96,0,72,0
2022-06-25 02:56:42,98,0,72,0
2022-06-25 02:56:47,97,0,72,0
2022-06-25 02:56:52,94,0,72,38
2022-06-25 02:56:57,93,0,72,17
2022-06-25 02:58:12,92,0,72,14
2022-06-25 02:58:17,93,0,72,8
2022-06-25 02:59:02,93,0,72,10
2022-06-25 02:59:42,94,0,72,15
2022-06-25 03:01:42,96,0,72,7
2022-06-25 03:04:17,95,0,72,22
2022-06-25 03:05:32,88,0,72,14
2022-06-25 03:05:42,87,0,72,19
2022-06-25 03:05:52,82,0,72,18
2022-06-25 03:07:17,88,0,72,11
2022-06-25 03:07:29,84,0,72,17
2022-06-25 03:07:44,83,0,72,10
2022-06-25 03:07:49,82,0,72,5
2022-06-25 03:07:54,81,0,72,7
2022-06-25 03:08:14,81,0,72,12
2022-06-25 03:08:19,82,0,72,7
2022-06-25 03:08:44,88,0,72,6
2022-06-25 03:09:09,87,0,72,31
2022-06-25 03:09:19,75,0,72,0
2022-06-25 03:09:24,68,0,72,7
2022-06-25 03:09:34,70,0,72,7
2022-06-25 03:09:39,72,0,72,0
2022-06-25 03:09:54,71,0,72,0
2022-06-25 03:10:09,77,0,72,0
2022-06-25 03:10:14,79,0,72,22
2022-06-25 03:10:19,82,0,72,4
2022-06-25 03:10:24,83,0,72,8
2022-06-25 03:10:55,87,0,72,20
2022-06-25 03:12:15,87,0,72,4
2022-06-25 03:12:30,87,0,72,14
2022-06-25 03:12:50,86,0,72,14
2022-06-25 03:13:05,86,0,72,11
2022-06-25 03:13:10,83,0,72,6
2022-06-25 03:13:45,82,0,72,10
2022-06-25 03:13:55,81,0,72,4
2022-06-25 03:14:50,78,0,72,0
2022-06-25 03:14:55,78,0,72,15
2022-06-25 03:15:05,79,0,72,12
2022-06-25 03:15:20,80,0,72,18
2022-06-25 03:15:30,81,0,72,17
2022-06-25 03:16:40,85,0,72,20
2022-06-25 03:16:50,84,0,72,8
2022-06-25 03:17:00,86,0,72,13
2022-06-25 03:17:05,87,0,72,24
2022-06-25 03:17:45,86,0,72,6
2022-06-25 03:18:15,85,0,72,10
2022-06-25 03:18:25,84,0,72,11
2022-06-25 03:19:00,84,0,72,5
2022-06-25 03:19:25,79,0,72,10
2022-06-25 03:19:35,80,0,72,7
2022-06-25 03:19:40,83,0,72,20
2022-06-25 03:19:50,84,0,72,14
2022-06-25 03:20:05,84,0,72,4
2022-06-25 03:20:10,85,0,72,4
2022-06-25 03:22:39,81,0,72,5
2022-06-25 03:22:54,83,0,72,5
2022-06-25 03:23:54,83,0,72,28
2022-06-25 03:24:09,83,0,72,27
2022-06-25 03:24:24,83,0,72,9
2022-06-25 03:24:44,88,0,72,5
2022-06-25 03:24:59,86,0,72,22
2022-06-25 03:25:04,85,0,72,16
2022-06-25 03:25:19,85,0,72,35
